,Run Number,Threads,Std Dev,Size,Executions,Message Time,Exec Time,Work Time
0,1,0,1000,8000,60,9.103419542312622,221.9798047542572,1972.9262082576752
1,2,0,1000,8000,60,9.396166801452637,236.15787768363953,1907.3205165863037
2,3,0,1000,8000,60,9.634228944778442,228.43710565567017,1986.525747537613
3,4,0,1000,8000,60,9.434008836746216,219.0734691619873,1996.316931962967
4,5,0,1000,8000,60,9.766209840774536,216.01457405090332,1995.6248166561127
