,Run Number,Threads,Std Dev,Size,Executions,Message Time,Post Message Time,Exec Init Time,Exec Run Time,Whole Work Time,Calc Time
0,1,0,1000,8000,30,0.7247147560119629,231.0160665512085,24.406626999999997,1327.8927589999996,1318.1286857128143,1096.4046058654785
1,2,0,1000,8000,30,0.7195827960968018,234.63255524635315,28.641009000000007,1330.2650800000001,1319.2339730262756,1100.5586426258087
2,3,0,1000,8000,30,0.7210569381713867,235.18684148788452,37.703326999999994,1300.097763,1289.12535738945,1070.5692040920258
3,4,0,1000,8000,30,0.6210205554962158,241.88955545425415,49.791140000000006,1322.5559769999998,1312.387141942978,1092.650173664093
4,5,0,1000,8000,30,0.7306511402130127,231.79341077804565,28.477891000000003,1322.1387519999998,1312.125352859497,1099.2637858390808
