,Run Number,Threads,Std Dev,Size,Executions,Message Time,Exec Time,Work Time
0,1,0,1000,25000,2,0.31343817710876465,244.86293053627014,321.51164054870605
1,2,0,1000,25000,2,0.31531596183776855,223.65158414840698,306.41652059555054
2,3,0,1000,25000,2,0.3767399787902832,221.7688889503479,307.24982595443726
3,4,0,1000,25000,2,0.32207298278808594,223.88664174079895,305.87012553215027
4,5,0,1000,25000,2,0.3508570194244385,223.7113699913025,309.3220725059509
